Task_ID,Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Cost_Per_Day,Labour_Intensity,Combined_Constraint_Score,Complexity_Score,Risk_Score,Composite_Risk_Index,Cost_Risk_Flag,Underestimated_Risk_Flag,Schedule_Critical_Flag,Priority_Score,Priority_Tier,Triple_Threat
T85,40,18,7,69515.29,12,Medium,0.6,0.76,0,1737.88,2.57,0.68,0.384,2,0.585,False,False,False,0.334,P3 - Standard Review,False
T86,85,18,5,21418.96,2,Medium,0.27,0.59,2,251.99,3.6,0.43,0.661,2,0.618,False,False,False,0.488,P3 - Standard Review,False
T87,80,7,5,39794.08,29,Medium,0.65,0.77,1,497.43,1.4,0.71,0.648,2,0.67,False,False,False,0.469,P3 - Standard Review,False
T88,82,3,2,89671.8,0,High,0.6,0.5,1,1093.56,1.5,0.55,0.609,3,0.793,True,False,False,0.509,P2 - Monitor Closely,False
T89,53,18,4,21227.32,3,Low,0.32,0.19,4,400.52,4.5,0.255,0.615,1,0.402,False,False,False,0.465,P3 - Standard Review,False
T90,24,10,6,51272.7,24,Low,0.55,0.11,2,2136.36,1.67,0.33,0.357,1,0.34,False,False,False,0.305,P3 - Standard Review,False
T91,26,7,7,42507.89,12,Low,0.47,0.34,1,1634.92,1.0,0.405,0.313,1,0.342,False,False,False,0.256,P4 - Low Priority,False
T92,89,17,5,2794.28,16,High,0.62,0.66,3,31.4,3.4,0.64,0.817,3,0.873,False,False,True,0.666,P2 - Monitor Closely,False
T93,60,14,9,79483.05,27,Medium,0.67,0.73,1,1324.72,1.56,0.7,0.555,2,0.64,False,False,False,0.435,P3 - Standard Review,False
T94,41,3,3,7835.54,29,Low,0.21,0.34,1,191.11,1.0,0.275,0.342,1,0.324,False,False,False,0.253,P4 - Low Priority,False
T95,29,12,1,47951.25,10,High,0.81,0.5,1,1653.49,12.0,0.655,0.402,3,0.752,False,False,False,0.442,P3 - Standard Review,False
T96,15,13,4,56507.15,1,Low,0.77,0.44,4,3767.14,3.25,0.605,0.549,1,0.452,False,False,False,0.476,P3 - Standard Review,False
T97,45,2,9,63214.22,24,Low,0.49,0.43,1,1404.76,0.22,0.46,0.415,1,0.383,False,False,False,0.297,P4 - Low Priority,False
T98,65,3,4,69174.53,15,Medium,0.24,0.29,1,1064.22,0.75,0.265,0.447,2,0.52,False,False,False,0.359,P3 - Standard Review,False
T99,89,5,2,26073.97,1,Low,0.8,0.21,4,292.97,2.5,0.505,0.851,1,0.523,False,True,True,0.573,P2 - Monitor Closely,False
T100,71,11,5,1987.9,28,High,0.96,0.26,2,28.0,2.2,0.61,0.652,3,0.818,False,False,False,0.565,P2 - Monitor Closely,False
T101,9,8,3,72620.92,18,Low,0.39,0.14,0,8068.99,2.67,0.265,0.12,1,0.256,False,False,False,0.149,P4 - Low Priority,False
T102,88,12,9,54030.0,22,High,0.46,0.26,4,613.98,1.33,0.36,0.804,3,0.813,False,False,True,0.677,P2 - Monitor Closely,False
T103,1,7,4,83775.65,18,Medium,0.35,0.11,4,83775.65,1.75,0.23,0.373,2,0.491,False,False,False,0.614,P2 - Monitor Closely,False
T104,8,15,6,82317.45,24,Low,0.66,0.6,1,10289.68,2.5,0.63,0.3,1,0.383,False,False,False,0.287,P4 - Low Priority,False
T105,88,17,2,84489.29,15,High,0.32,0.35,1,960.11,8.5,0.335,0.571,3,0.738,True,False,False,0.477,P3 - Standard Review,False
T106,63,4,6,49024.37,21,Medium,0.48,0.88,0,778.16,0.67,0.68,0.487,2,0.615,False,False,False,0.369,P3 - Standard Review,False
T107,11,13,3,34029.21,18,Low,0.76,0.25,1,3093.56,4.33,0.505,0.276,1,0.35,False,False,False,0.253,P4 - Low Priority,False
T108,81,18,9,79364.26,8,Low,0.65,0.38,3,979.81,2.0,0.515,0.744,1,0.493,False,True,True,0.498,P3 - Standard Review,False
T109,8,1,2,45678.12,0,High,0.51,0.39,1,5709.76,0.5,0.45,0.246,3,0.664,False,False,False,0.377,P3 - Standard Review,False
T110,35,16,9,19160.78,9,Low,0.54,0.11,1,547.45,1.78,0.325,0.33,1,0.331,False,False,False,0.254,P4 - Low Priority,False
T111,35,13,5,85642.43,18,Low,0.65,0.77,3,2446.93,2.6,0.71,0.595,1,0.487,False,False,False,0.461,P3 - Standard Review,False
T112,33,10,8,88373.43,0,Low,0.2,0.13,0,2677.98,1.25,0.165,0.198,1,0.259,False,False,False,0.159,P4 - Low Priority,False
T113,5,12,2,47164.67,1,Low,0.26,0.85,3,9432.93,6.0,0.555,0.414,1,0.402,False,False,False,0.396,P3 - Standard Review,False
T114,41,2,6,8494.27,15,Medium,0.91,0.81,4,207.18,0.33,0.86,0.742,2,0.728,False,False,False,0.627,P2 - Monitor Closely,False
T115,28,3,3,39394.78,11,Low,0.26,0.53,3,1406.96,1.0,0.395,0.469,1,0.386,False,False,False,0.387,P3 - Standard Review,False
T116,7,10,5,80550.23,7,Low,0.77,0.53,2,11507.18,2.0,0.65,0.376,1,0.409,False,False,False,0.357,P3 - Standard Review,False
T117,73,2,8,90275.63,22,Low,0.94,0.62,4,1236.65,0.25,0.78,0.862,1,0.581,False,True,True,0.6,P2 - Monitor Closely,False
T118,72,13,1,21143.8,17,Low,0.42,0.41,1,293.66,13.0,0.415,0.523,1,0.407,False,False,False,0.332,P3 - Standard Review,False
T119,12,13,5,7630.39,1,High,0.5,0.62,4,635.87,2.6,0.56,0.522,3,0.769,False,False,False,0.589,P2 - Monitor Closely,False
T120,34,18,3,87857.69,24,Low,0.66,0.14,0,2584.05,6.0,0.4,0.273,1,0.329,False,False,False,0.205,P4 - Low Priority,False
T121,33,3,4,39551.09,28,High,0.91,0.14,0,1198.52,0.75,0.525,0.306,3,0.697,False,False,False,0.358,P3 - Standard Review,False
T122,48,7,2,54634.34,12,Low,0.95,0.47,3,1138.22,3.5,0.71,0.654,1,0.505,False,False,False,0.48,P3 - Standard Review,False
T123,23,14,9,96838.52,5,Low,0.79,0.54,4,4210.37,1.56,0.665,0.603,1,0.481,False,False,False,0.502,P2 - Monitor Closely,False
T124,62,17,3,7589.91,20,High,0.27,0.81,1,122.42,5.67,0.54,0.516,3,0.763,False,False,False,0.472,P3 - Standard Review,False
T125,88,12,2,65183.48,25,Low,0.74,0.18,0,740.72,6.0,0.46,0.534,1,0.419,False,False,False,0.303,P3 - Standard Review,False
T126,37,16,9,8336.44,5,Medium,0.53,0.76,1,225.31,1.78,0.645,0.435,2,0.593,False,False,False,0.384,P3 - Standard Review,False
T127,44,12,7,38171.42,8,High,0.58,0.27,2,867.53,1.71,0.425,0.475,3,0.727,False,False,False,0.486,P3 - Standard Review,False
T128,86,15,6,80577.64,15,Low,0.24,0.42,0,936.95,2.5,0.33,0.486,1,0.378,False,False,False,0.275,P4 - Low Priority,False
T129,35,10,1,43913.75,10,Low,0.35,0.35,3,1254.68,10.0,0.35,0.487,1,0.383,False,False,False,0.39,P3 - Standard Review,False
T130,65,7,5,99721.05,6,Medium,0.83,0.42,2,1534.17,1.4,0.625,0.63,2,0.647,False,False,False,0.495,P3 - Standard Review,False
T131,47,5,3,56346.87,9,Low,0.56,0.22,4,1198.87,1.67,0.39,0.628,1,0.433,False,False,False,0.483,P3 - Standard Review,False
T132,78,1,1,32795.05,9,Low,0.44,0.5,1,420.45,1.0,0.47,0.567,1,0.431,False,False,False,0.353,P3 - Standard Review,False
T133,3,17,4,22791.02,29,Low,0.51,0.74,0,7597.01,4.25,0.625,0.201,1,0.352,False,False,False,0.207,P4 - Low Priority,False
T134,1,3,2,35701.53,24,Low,0.88,0.45,2,35701.53,1.5,0.665,0.354,1,0.406,False,False,False,0.4,P3 - Standard Review,False
T135,5,13,2,37880.79,19,Medium,0.8,0.49,2,7576.16,6.5,0.645,0.366,2,0.572,False,False,False,0.411,P3 - Standard Review,False
T136,14,14,3,7802.65,17,Low,0.42,0.78,0,557.33,4.67,0.6,0.243,1,0.36,False,False,False,0.206,P4 - Low Priority,False
T137,27,18,8,37587.85,27,Low,0.29,0.66,4,1392.14,2.25,0.475,0.564,1,0.431,False,False,False,0.466,P3 - Standard Review,False
T138,9,4,8,46959.61,23,Medium,0.4,0.49,4,5217.73,0.5,0.445,0.474,2,0.565,False,False,False,0.505,P2 - Monitor Closely,False
T139,79,18,7,72551.04,19,Low,0.94,0.31,3,918.37,2.57,0.625,0.768,1,0.522,False,True,True,0.515,P2 - Monitor Closely,False
T140,15,5,6,66016.22,28,Low,0.67,0.81,4,4401.08,0.83,0.74,0.589,1,0.491,False,False,False,0.503,P2 - Monitor Closely,False
T141,42,16,9,71167.8,8,Medium,0.63,0.56,3,1694.47,1.78,0.595,0.592,2,0.63,False,False,False,0.516,P2 - Monitor Closely,False
T142,77,1,4,1828.0,14,Low,0.68,0.28,2,23.74,0.25,0.48,0.64,1,0.455,False,False,False,0.417,P3 - Standard Review,False
T143,51,14,1,22549.07,3,Medium,0.49,0.32,0,442.14,14.0,0.405,0.351,2,0.52,False,False,False,0.297,P4 - Low Priority,False
T144,63,15,8,66506.74,7,High,0.85,0.74,4,1055.66,1.88,0.795,0.822,3,0.906,False,False,False,0.72,P1 - Immediate Attention,False
T145,52,9,7,48914.95,8,Low,0.62,0.14,3,940.67,1.29,0.38,0.573,1,0.415,False,False,False,0.424,P3 - Standard Review,False
T146,4,15,7,1526.03,12,Medium,0.29,0.89,2,381.51,2.14,0.59,0.345,2,0.555,False,False,False,0.384,P3 - Standard Review,False
T147,23,17,3,80644.97,8,Low,0.3,0.2,4,3506.3,5.67,0.25,0.478,1,0.36,False,False,False,0.421,P3 - Standard Review,False
T148,15,4,4,77508.15,25,Low,0.63,0.74,1,5167.21,1.0,0.685,0.348,1,0.408,False,False,False,0.298,P4 - Low Priority,False
T149,43,12,9,55293.5,3,High,0.95,0.42,2,1285.9,1.33,0.685,0.549,3,0.802,False,False,False,0.536,P2 - Monitor Closely,False
T150,29,5,6,7579.87,16,High,0.45,0.49,4,261.37,0.83,0.47,0.571,3,0.765,False,False,False,0.599,P2 - Monitor Closely,False
T151,36,5,5,76884.99,15,Low,0.9,0.8,2,2135.69,1.0,0.85,0.567,1,0.507,False,False,False,0.424,P3 - Standard Review,False
T152,13,11,3,58787.65,14,Medium,0.81,0.43,0,4522.13,3.67,0.62,0.244,2,0.531,False,False,False,0.283,P4 - Low Priority,False
T153,32,6,9,78414.04,2,High,0.4,0.53,0,2450.44,0.67,0.465,0.283,3,0.678,True,False,False,0.347,P3 - Standard Review,False
T154,71,7,5,75422.95,24,High,0.23,0.14,0,1062.3,1.4,0.185,0.375,3,0.65,True,False,False,0.356,P3 - Standard Review,False
T155,59,14,5,80497.21,19,Medium,0.28,0.1,1,1364.36,2.8,0.19,0.397,2,0.49,False,False,False,0.336,P3 - Standard Review,False
T156,86,11,4,52282.8,4,Low,0.78,0.3,0,607.94,2.75,0.54,0.549,1,0.439,False,False,False,0.314,P3 - Standard Review,False
T157,28,13,4,14892.13,22,Low,0.36,0.64,1,531.86,3.25,0.5,0.351,1,0.372,False,False,False,0.275,P4 - Low Priority,False
T158,66,2,1,67444.59,4,High,0.5,0.2,0,1021.89,2.0,0.35,0.402,3,0.691,False,False,False,0.379,P3 - Standard Review,False
T159,42,7,7,62426.9,19,Low,0.6,0.19,2,1486.35,1.0,0.395,0.457,1,0.383,False,False,False,0.346,P3 - Standard Review,False
T160,45,4,9,74483.07,14,Medium,0.78,0.43,4,1655.18,0.44,0.605,0.684,2,0.66,False,False,False,0.588,P2 - Monitor Closely,False
T161,62,8,3,17818.22,17,Low,0.29,0.62,4,287.39,2.67,0.455,0.715,1,0.472,False,True,False,0.518,P2 - Monitor Closely,False
T162,57,19,2,20302.54,14,Low,0.53,0.67,0,356.18,9.5,0.6,0.436,1,0.417,False,False,False,0.277,P4 - Low Priority,False
T163,6,13,3,89150.54,1,Low,0.59,0.24,4,14858.42,4.33,0.415,0.451,1,0.385,False,False,False,0.448,P3 - Standard Review,False
T164,28,14,1,75247.8,28,High,0.63,0.16,0,2687.42,14.0,0.395,0.244,3,0.652,True,False,False,0.327,P3 - Standard Review,False
T165,28,10,6,90914.62,12,Low,0.85,0.85,0,3246.95,1.67,0.85,0.381,1,0.451,False,False,False,0.282,P4 - Low Priority,False
T166,44,11,7,76112.82,3,Medium,0.34,0.31,3,1729.84,1.57,0.325,0.52,2,0.554,False,False,False,0.468,P3 - Standard Review,False
T167,84,2,2,60118.38,9,Low,0.85,0.78,3,715.7,1.0,0.815,0.847,1,0.584,False,True,True,0.559,P2 - Monitor Closely,False
T168,30,9,8,65759.14,12,Low,0.75,0.79,3,2191.97,1.12,0.77,0.591,1,0.498,False,False,False,0.464,P3 - Standard Review,False
T169,62,17,6,89023.66,9,Low,0.64,0.72,1,1435.87,2.83,0.68,0.558,1,0.47,False,False,False,0.368,P3 - Standard Review,False
T170,75,3,4,58301.87,28,Medium,0.76,0.24,3,777.36,0.75,0.5,0.712,2,0.647,False,False,True,0.551,P2 - Monitor Closely,False
T171,89,6,5,63606.74,8,Low,0.53,0.76,0,714.68,1.2,0.645,0.594,1,0.474,False,False,False,0.34,P3 - Standard Review,False
T172,62,5,8,16491.19,7,Low,0.31,0.72,2,265.99,0.62,0.515,0.583,1,0.445,False,False,False,0.399,P3 - Standard Review,False
T173,1,5,3,47918.2,2,Low,0.73,0.58,3,47918.2,1.67,0.655,0.426,1,0.425,False,False,False,0.489,P3 - Standard Review,False
T174,27,15,3,71923.31,15,Low,0.62,0.37,3,2663.83,5.0,0.495,0.495,1,0.414,False,False,False,0.407,P3 - Standard Review,False
T175,62,17,4,27823.33,13,High,0.71,0.31,2,448.76,4.25,0.51,0.582,3,0.777,False,False,False,0.532,P2 - Monitor Closely,False
T176,77,9,1,21023.16,8,High,0.47,0.2,0,273.03,9.0,0.335,0.447,3,0.701,False,False,False,0.393,P3 - Standard Review,False
T177,3,3,9,32068.85,29,Low,0.93,0.51,1,10689.62,0.33,0.72,0.304,1,0.402,False,False,False,0.297,P4 - Low Priority,False
T178,70,17,8,24908.56,20,Medium,0.67,0.57,3,355.84,2.12,0.62,0.726,2,0.675,False,False,True,0.565,P2 - Monitor Closely,False
T179,72,10,8,22276.35,10,High,0.27,0.39,2,309.39,1.25,0.33,0.573,3,0.738,False,False,False,0.514,P2 - Monitor Closely,False
T180,27,3,6,43060.23,2,Low,0.56,0.48,0,1594.82,0.5,0.52,0.277,1,0.354,False,False,False,0.214,P4 - Low Priority,False
T181,9,18,7,90876.01,4,High,0.81,0.39,4,10097.33,2.57,0.6,0.52,3,0.776,True,False,False,0.611,P2 - Monitor Closely,False
T182,62,18,6,51198.91,28,High,0.84,0.61,1,825.79,3.0,0.725,0.571,3,0.816,False,False,False,0.508,P2 - Monitor Closely,False
T183,37,17,9,19604.12,9,Low,0.6,0.82,2,529.84,1.89,0.71,0.529,1,0.467,False,False,False,0.395,P3 - Standard Review,False
